Carimbo de data/hora;Primeiro poderia nos dizer qual seu interesse academico;Qual sua idade1;Com qual genero voce se identifica1;Em qual regiao do Brasil voce mora1;Quais redes sociais voce mais utiliza1;Quais canais de noticia voce costuma acessar1;Nos momentos de lazer o que voce gosta de fazer1;Que tipo de entretenimento voce mais consome1;Dentro do cenario politico em que vivemos qual sua posicao em relacao ao atual governo1;Em que momento voce se encontra como estudante1;Como e sua rotina enquanto estudante1;Em qual area voce pretende estudar1;Como voce se prepara para o vestibular1;Como voce costuma buscar informacoes sobre as instituicoes de ensino onde voce gostaria de estudar1;O que voce considera importante na hora de escolher uma instituicao de ensino superior  Ser uma instituicao renomada1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao publica1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao privada1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser uma instituicao atualizada com o mercado1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ser gratuita ou ter um preco acessivel1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter uma boa estrutura fiscia e pedagogica1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter um bom indicie de empregabilidade aPos formado1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter uma boa grade de ensino incluindo aulas praticas1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter atividades complementares na grade de ensino1;O que voce considera importante na hora de escolher uma instituicao de ensino superior Ter programas de intercambio1;O que voce considera importante na hora de escolher uma instituicao de ensino superior  Ter programas de bolsas de estudo e estagio interno1;Quais das seguintes atividades seriam do seu interesse enquanto estudante de PosGraduacao1;Quanto a localizacao da instituicao o que voce considera importante1;Pensando em estudar longe de casa quais beneficios e atrativos uma cidade precisa ter1;Onde voce costuma ver anuncios sobre cursos vestibulares e instituicoes1
8/23/2019 16:27:23;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Sul;Youtube Whatsapp;Blogs e Foruns Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Programas de Radio Blogs;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos;Exatas;nao me preparo para o vestibular;Fazendo uma busca no Google;5;5;1;3;5;3;3;3;2;2;2;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras);Estar localizada na cidade em que eu moro Estar localizada numa cidade com baixo custo de vida nao estar muito longe do meu TRABALHO.;Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;midia impressa (revistas jornais panfletos etc)
8/23/2019 16:28:05;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:35:37;Estou buscando um curso de Pos-Graduacao;De 31 a 40 anos;Masculino;Sudeste;Instagram Whatsapp Linkedin;Sites: G1 R7 Folha etc Redes Sociais: paginas e Perfis Televisao Radio;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Filmes Redes Sociais;Prefiro nao opinar sobre isso.;Buscando minha segunda Pos-graduacao;Dedico bastante tempo aos estudos;Humanas;Estudo em casa por conta propria;Assistindo videos no Youtube Conversando com amigos;3;3;3;3;3;3;3;3;3;3;3;Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada em qualquer cidade do meu estado;Transporte publico de qualidade Opcoes de lazer e cultura Baixo indice de violencia;Instagram Youtube Sites e blogs
8/23/2019 16:36:49;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:37:27;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Sudeste;Whatsapp Linkedin;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Radio;Ficar em casa vendo series filmes jogando estudando etc Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Series Filmes Podcasts Novelas;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo Buscando minha segunda Pos-graduacao;Dedico pouco tempo aos estudos Faco atividades complementares;Exatas;Leio muitos livros e artigos Assisto videoaulas no Youtube;Conversando com amigos Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;3;4;5;5;5;5;5;5;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade;E-mail
8/23/2019 16:37:37;Estou buscando um curso de Pos-Graduacao;Mais de 40 anos;Masculino;Sudeste;Whatsapp Linkedin;Sites: G1 R7 Folha etc Impressos: Jornais e Revistas Radio;Ficar em casa vendo series filmes jogando estudando etc Frequentar museus galerias e espacos culturais Praticar alguma atividade fisica e/ou esportiva;Musica Esportes Series Filmes Podcasts Novelas;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Graduado e sem estudar a algum tempo Buscando minha segunda Pos-graduacao;Dedico pouco tempo aos estudos Faco atividades complementares;Exatas;Leio muitos livros e artigos Assisto videoaulas no Youtube;Conversando com amigos Fazendo uma busca no Google Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;3;4;5;5;5;5;5;5;4;5;Monitoria (Auxilia outros estudantes ao longo do seu aprendizado) Empreendedorismo Atividades em laboratorio (Experimentos Pesquisas Testes Exames dentre outras) Diretorio Academico - DA (Representa os estudantes de um determinado curso) Diretorio Central de Estudantes - DCE (Representa todos os estudantes de uma universidade) Iniciacao Cientifica (Participar de um projeto de pesquisa cientifica);Estar localizada na cidade em que eu moro;Transporte publico de qualidade;E-mail
8/23/2019 16:37:55;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:37:55;Estou buscando um curso de Pos-Graduacao;De 21 a 30 anos;Masculino;Centro-Oeste;Instagram Whatsapp;Redes Sociais: paginas e Perfis Busco tudo no Google;Ficar em casa vendo series filmes jogando estudando etc Praticar alguma atividade fisica e/ou esportiva;Musica Esportes;"Sou a favor mas discordo de algumas decisoes que estao sendo tomadas;";Cursando uma graduacao;Faco o basico para conseguir aprovacao;Exatas;Estudo em casa por conta propria Assisto videoaulas no Youtube;Assistindo videos no Youtube Fazendo uma busca no Google Lendo avaliacoes em sites e blogs Acessando o site da propria instituicao Vendo a avaliacao da instituicao no site do MEC;4;4;2;3;5;4;3;4;5;3;4;Empreendedorismo;nao tenho restricoes quanto a localizacao;Transporte publico de qualidade Pracas e parques para passear Baixo indice de violencia Baixo custo de vida;Facebook Youtube Grupos de Whatsapp E-mail Radio Sites e blogs
8/23/2019 16:38:06;Estou buscando um curso de Graduacao;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8/23/2019 16:41:59;Gostaria apenas de colaborar com a pesquisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;
